County,ProjectNam,ProjectDev,ProjectOwn,State,State_Coun,County__St,PopDensity,Household_,View_Score,Latitude,Longitude,Capacity,CurrentPha,TimelineDa,OnlyCancel,Artificial,OperatingD,PhaseHisto,field_15_1,field_16_1,field_17_1,field_18_1,field_19_1,field_20_1,field_21_1,field_22_1,field_23_1,field_24_1,field_25_1,field_26_1,field_27_1,field_28_1,field_29_1,field_30_1,field_31_1,field_32_1,lr_tif,H_L_W,Google_Sentiment,standard_dev,variance,Sign_Google,members_env,Canceled
Curry,BrahmsWind,Brahms Wind,Brahms Wind,New Mexico,New Mexico - Curry County,"Curry County, New Mexico",34.4,42170,66,34.7522,-103.3177,19.8,Canceled,677,No,No,No,Canceled:9/19/2016,Postponed:12/21/2015,Operating:2/7/2014,Testing:12/20/2013,Under Const:9/28/2013,Permitted:9/11/2013,App Pending:8/1/2012,Proposed:4/1/2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Low,1.5,0.5773502691896257,0.3333333333333333,Positive,424,0
Curry,ClovisWind,Vert I Go Wind Energy,Vert I Go Wind Energy,New Mexico,New Mexico - Curry County,"Curry County, New Mexico",34.4,42170,179,34.4053,-103.1909,5,Operating,614,No,No,No,Operating:9/30/2011,Under Const:3/28/2011,Site Prep:6/23/2010,Proposed:1/24/2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0,NA,NA,NA,424,0
Curry,BroadviewEnergyJN,Broadview Energy JN,Broadview Energy JN,New Mexico,New Mexico - Curry County,"Curry County, New Mexico",34.4,42170,50,34.5692,-103.069,181.7,Operating,422,No,No,No,Operating:3/31/2017,Under Const:9/30/2016,Proposed:2/3/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Low,0,NA,NA,NA,424,0
Custer,WeatherfordWindFarm,FPL Energy Cowboy Wind,FPL Energy Cowboy Wind,Oklahoma,Oklahoma - Custer County,"Custer County, Oklahoma",27.8,47250,47,35.5163,-98.7628,106.5,Operating,395,No,No,No,Operating:1/17/2006,Under Const:10/7/2005,Proposed:5/3/2005,Operating:4/1/2005,Under Const:12/14/2004,Proposed:3/2/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,1.5,1.490319640741189,2.2210526315789463,Positive,364,0
Custer,BrokenBowWind,Broken Bow Wind,Broken Bow Wind,Nebraska,Nebraska - Custer County,"Custer County, Nebraska",4.2,47083,18,41.5206,-99.5933,80,Operating,993,No,No,No,Operating:10/1/2014,Under Const:1/30/2014,Proposed:9/26/2013,Postponed:10/17/2012,Operating:10/15/2012,Under Const:4/12/2012,Proposed:11/21/2011,Under Const:10/29/2010,Proposed:1/26/2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0.967741935483871,1.7337428291216854,3.0058641975308658,Positive,364,0
Cuyahoga,LincolnElectricWind(OH),Lincoln Electric Co,Lincoln Electric Co,Ohio,Ohio - Cuyahoga County,"Cuyahoga County, Ohio",2800,45289,405,41.5867,-81.5204,2.5,Operating,63,No,No,No,Operating:6/27/2011,Proposed:4/25/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,1.3191489361702127,1.4427243791123836,2.081453634085213,Positive,8745,0
Dakota,UmoreParkWindFarm,Clipper Windpower,Clipper Windpower,Minnesota,Minnesota - Dakota County,"Dakota County, Minnesota",709,77321,181,44.7394,-93.126,2.5,Operating,433,No,No,No,Operating:10/25/2011,Proposed:8/18/2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0,NA,NA,NA,3023,0
Dakota,GreenvaleWindFarm,Sparks Energy,Sparks Energy,Minnesota,Minnesota - Dakota County,"Dakota County, Minnesota",709,77321,115,44.5337,-93.2138,11,Canceled,403,Yes,No,No,Canceled:8/13/2010,App Pending:7/21/2009,Proposed:7/6/2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0,NA,NA,NA,3023,1
Dallam,DallamRanchWind,Baryonyx,Baryonyx,Texas,Texas - Dallam County,"Dallam County, Texas",4.5,43897,14,36.3335,-102.5757,150,Canceled,1447,Yes,No,No,Canceled:7/3/2013,Proposed:7/17/2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0,NA,NA,NA,12,1
Dallas,GWEDalasCounty,Availon Wind Services,Gwe 1,Iowa,Iowa - Dallas County,"Dallas County, Iowa",112.4,78918,112,41.822,-94.095,7.5,Canceled,1346,Yes,No,No,Canceled:9/30/2017,Postponed:6/5/2017,Proposed:1/23/2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0,NA,NA,NA,8578,1
Darke,GreenvilleWhirlpoolWind,OEE XXVI,OEE XXVI,Ohio,Ohio - Darke County,"Darke County, Ohio",88.5,47043,153,40.1314,-84.61,4.5,Under Const,350,No,Yes,No,Under Const:1/1/2018,Proposed:11/16/2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0,NA,NA,NA,165,0
